strike,T_7d,T_14d,T_30d,T_60d,T_90d,T_180d
106.97047833701828,0.10058065619088025,0.10346240713074613,0.10790704416984194,0.11392868719958477,0.11845255110762071,0.12881088625201986
109.78549092483455,0.0947768079249305,0.09761888092749037,0.10201291360906871,0.10792356091854854,0.11237162837233147,0.12254119070357401
112.60050351265082,0.08900222441307157,0.09180892965769884,0.09615975587130901,0.10196947840895056,0.10634991499657696,0.1163495871357076
115.41551610046709,0.0832410849286266,0.08601771899434797,0.09033438920853662,0.09605517828340247,0.10037764031815978,0.11022934204434984
118.23052868828336,0.07747554666254276,0.08022885441716632,0.08452279035886426,0.09016937577313262,0.09444559161708961,0.10417536140064511
121.04554127609963,0.07168496113085411,0.07442386609337832,0.07870996509147128,0.08430103424783492,0.08854563831321725,0.09818510750870266
123.8605538639159,0.06584483946749925,0.06858164826641128,0.07288003749756186,0.07844009534641501,0.08267183764763217,0.09226022672799532
126.67556645173215,0.05992556971835968,0.06267805330609964,0.06701696989134147,0.0725792266376773,0.07682272107600119,0.0864094526505496
129.49057903954844,0.053891229245100605,0.05668639972898129,0.061107043239146855,0.06671789380263352,0.07100604545157774,0.08065381977784376
132.3055916273647,0.04770043031985591,0.0505816717600402,0.05514633761787419,0.06087191218410688,0.06524879404920336,0.07503601244324748
135.12060421518098,0.04131881990810458,0.044359025182075185,0.04916293972754849,0.0550961328817404,0.059618270024831575,0.06963664178466715
137.93561680299723,0.03479323301653656,0.03810937774986984,0.043282953534710636,0.04953709722475514,0.05426441822121746,0.06459974952425077
140.75062939081351,0.028631828207558187,0.03230207605891163,0.03790532234356957,0.044535299739999784,0.04948745744889905,0.06016094807031406
143.56564197862977,0.024640131263497827,0.0282682261111917,0.03391268236696275,0.04069873411632204,0.04576611652284202,0.05664058910608378
146.38065456644603,0.023801976872521162,0.026966466769026236,0.03208563556436181,0.038588966165777956,0.04354481170246661,0.05433199831251133
149.1956671542623,0.024622234417042074,0.027458595642068415,0.03206161331949163,0.03812929384760744,0.04283944832647963,0.053312034953611157
152.0106797420786,0.0260606350754244,0.028737361351254657,0.033031215335133216,0.03877463878899179,0.04326130195355475,0.05338965655518495
154.82569232989485,0.027733799898881355,0.030345090939717746,0.034480631915222625,0.04004068072982274,0.04438066983554065,0.05425686293489389
157.6407049177111,0.029495021984056635,0.03209128773526289,0.03615828285178225,0.04163702294352846,0.04589988729261176,0.05563846126923097
160.4557175055274,0.03128101384037882,0.03389043460089141,0.037941930243283906,0.043405633883260165,0.04764168017480589,0.0573387034236825
